deltaTimeS;cameraDistance;cameraPosition;cameraSpeed (from position);rotationAngularSpeed;;;DeltaTime ;FPS;;;;;;
0,0060558040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0055066970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0071858000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0065455000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0055046060;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0058138960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0055468040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0059754960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0074412980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0057000990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0066016010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0048157030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0059197000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0056088010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0062903980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0077340980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0049961030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0067155970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052435020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0051839990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0079228030;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052970950;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0056625000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0063529050;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0067870960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
